         n  lb(n)  v(n)  l(n)  s(n)
-------------------------------------
         1     0     1     0     0
         2     1     1     1     0
         3     1     2     2     1
         4     2     1     2     0
         5     2     2     3     1
         6     2     2     3     1
         7     2     3     4     2
         8     3     1     3     0
         9     3     2     4     1
        10     3     2     4     1
        11     3     3     5     2
        12     3     2     4     1
        13     3     3     5     2
        14     3     3     5     2
        15     3     4     5     2
        16     4     1     4     0
        17     4     2     5     1
        18     4     2     5     1
        19     4     3     6     2
        20     4     2     5     1
        21     4     3     6     2
        22     4     3     6     2
        23     4     4     6     2
        24     4     2     5     1
        25     4     3     6     2
        26     4     3     6     2
        27     4     4     6     2
        28     4     3     6     2
        29     4     4     7     3
        30     4     4     6     2
        31     4     5     7     3
        32     5     1     5     0
        33     5     2     6     1
        34     5     2     6     1
        35     5     3     7     2
        36     5     2     6     1
        37     5     3     7     2
        38     5     3     7     2
        39     5     4     7     2
        40     5     2     6     1
        41     5     3     7     2
        42     5     3     7     2
        43     5     4     7     2
        44     5     3     7     2
        45     5     4     7     2
        46     5     4     7     2
        47     5     5     8     3
        48     5     2     6     1
        49     5     3     7     2
        50     5     3     7     2
        51     5     4     7     2
        52     5     3     7     2
        53     5     4     8     3
        54     5     4     7     2
        55     5     5     8     3
        56     5     3     7     2
        57     5     4     8     3
        58     5     4     8     3
        59     5     5     8     3
        60     5     4     7     2
        61     5     5     8     3
        62     5     5     8     3
        63     5     6     8     3
        64     6     1     6     0
        65     6     2     7     1
        66     6     2     7     1
        67     6     3     8     2
        68     6     2     7     1
        69     6     3     8     2
        70     6     3     8     2
        71     6     4     9     3
        72     6     2     7     1
        73     6     3     8     2
        74     6     3     8     2
        75     6     4     8     2
        76     6     3     8     2
        77     6     4     8     2
        78     6     4     8     2
        79     6     5     9     3
        80     6     2     7     1
        81     6     3     8     2
        82     6     3     8     2
        83     6     4     8     2
        84     6     3     8     2
        85     6     4     8     2
        86     6     4     8     2
        87     6     5     9     3
        88     6     3     8     2
        89     6     4     9     3
        90     6     4     8     2
        91     6     5     9     3
        92     6     4     8     2
        93     6     5     9     3
        94     6     5     9     3
        95     6     6     9     3
        96     6     2     7     1
        97     6     3     8     2
        98     6     3     8     2
        99     6     4     8     2
       100     6     3     8     2
       101     6     4     9     3
       102     6     4     8     2
       103     6     5     9     3
       104     6     3     8     2
       105     6     4     9     3
       106     6     4     9     3
       107     6     5     9     3
       108     6     4     8     2
       109     6     5     9     3
       110     6     5     9     3
       111     6     6     9     3
       112     6     3     8     2
       113     6     4     9     3
       114     6     4     9     3
       115     6     5     9     3
       116     6     4     9     3
       117     6     5     9     3
       118     6     5     9     3
       119     6     6     9     3
       120     6     4     8     2
       121     6     5     9     3
       122     6     5     9     3
       123     6     6     9     3
       124     6     5     9     3
       125     6     6     9     3
       126     6     6     9     3
       127     6     7    10     4
       128     7     1     7     0
       129     7     2     8     1
       130     7     2     8     1
       131     7     3     9     2
       132     7     2     8     1
       133     7     3     9     2
       134     7     3     9     2
       135     7     4     9     2
       136     7     2     8     1
       137     7     3     9     2
       138     7     3     9     2
       139     7     4    10     3
       140     7     3     9     2
